Название проекта|Статус|Тэги|Описание|Проблема/потребность|Цель|Задачи|Контур употребления|Материалы проекта|Команда проекта
Платформа шахматных курсов «Траектория»|Открыт|ИТ, Образование, Шахматы|На данный момент нет платформы, где бы реализовывалась следующая модель: изучение партий, возможность участника сделать ход в ключевой для партии позиции, изучение стилевых особенностей шахматиста. Потребность имеется у широкого круга любителей шахмат, также в удовлетворении потребности могут быть заинтересованы и профессиональные шахматисты.  Результат проекта - специальная площадка для интерактивного анализа шахматных партий, сравнения стилей шахматистов и отслеживания собственного прогресса в понимании игры. На сайте расположатся шахматные курсы различной сложности, в личном кабинете каждый сможет узнать свой прогресс по каждому начатому курсу. Так же планируется возможность интерактивного анализа партии совместно с тренером/товарищем.|На данный момент нет платформы, где бы реализовывалась следующая модель: изучение партий, возможность участника сделать ход в ключевой для партии позиции, изучение стилевых особенностей шахматиста. Потребность имеется у широкого круга любителей шахмат, также в удовлетворении потребности могут быть заинтересованы и профессиональные шахматисты. Проект основан на добровольных и свободных началах, на первых порах речь не идёт о коммерциализации проекта, продуктом можно будет пользоваться бесплатно. Данную потребность необходимо решить сейчас, так как сама потребность существует немалое время, более того, именно сейчас решение является актуальным и обладает определенной степенью новизны.|Создать сайт с мобильной версией, на котором можно изучать шахматные партии и сравнивать стили шахматистов, отслеживать собственный прогресс в изучении и определять свой стиль, расположатся 10 курсов/тренажёров, каждый курс соответствует сборнику партий одного шахматиста, 500 пользователей зарегистрируются, в сутки будут посещать 100 человек до 1 мая 2024 года.|Провести анализ на выявление потребностей/желаний целевой аудитории; Создать базу партий для сайта, проработать методические материалы; Создать платформу.|Проект ориентирован, в первую очередь, на шахматистов, играющих на любительском уровне. Ведь именно эти люди скорее всего испытывают сложности в поиске верной, актуальной информации по шахматной теории, и для них важную роль играет доступность предоставляемой источником информации, что обеспечивает интерактивность. Так же профессиональные игроки могут быть заинтересованы, в первую очередь за счет системы совместного анализа партий, так как даже опытным игрокам может помочь свежий взгляд со стороны и, возможно, они смогут открыть что-то новое для себя, объясняя другим более простые стратегии.|https://drive.google.com/file/d/1KddXjDZzr8KrSqHhR6LPXiN-PDTbNyxe/view?usp=drive_link, https://drive.google.com/file/d/1LGqqrDYdqE_jxGPUpooChK6YRlcDFwPe/view?usp=drive_link|3/5
Телеграм-бот с упражнениями на осанку «Осанка на миллион»|Открыт|Телеграм, Бот, Оздоровительная методика|Хорошая осанка является неотъемлемой частью здорового образа жизни. Она помогает предотвратить проблемы со здоровьем, такие как боли в спине и шее, уменьшает риск травм и повышает эффективность дыхания и кровообращения. Неправильная осанка мешает нормальному функционированию внутренних органов, наносит повреждения опорно-двигательному аппарату. В результате этого у человека возникают боли, развиваются хронические заболевания, ухудшается общее состояние организма. Не стоит забывать и о социальном значении осанки – человек с «прямой спиной» может быть более уверенным в себе, привлекательным для других людей. В рамках данного проекта создается бот в Телеграм, в котором будут находиться комплексы упражнений для осанки и полезная информация о связных с данной проблемах темами.|Студенты, живущие в общежитиях, в большей степени подвержены проблеме нерегулярного и не разнообразного питания, что в свою очередь может привести не только к серьезным болезням желудочно-кишечного тракта, но и в общем может ухудшить состояние здоровье студента. Также, студенты часто находятся в состоянии постоянного стресса. Темп жизни быстрый – занятия в вузе, домашняя работа, саморазвитие. Для качественного выполнения поставленной задачи студенту необходимо иметь хорошее самочувствие. Нарушение осанки может вызвать заболевания позвоночника, расстройства пищеварения, проблемы с дыханием и другие неприятности. Если спина имеет искаженные физиологические изгибы, то позвоночник может не выполнять в должной мере свои амортизирующие функции. Такие отклонения могут привести к еще более серьезным повреждениям, таким как межпозвонковые грыжи и протрузии дисков. Поэтому проблема неправильной осанки сегодня актуальна среди молодежи.|Создать бота в Телеграм с 2 комплексами упражнений для осанки и полезной информацией о спине, и добиться 400 пользователей, что позволит улучшить здоровье студентов и подростков, путем исправления осанки, поскольку спина правильная осанка лечит самые различные заболевания: сколиоз, кифоз, лордоз и так далее, что в свою очередь повысит общее состояние здоровья, самочувствие, продуктивность студентов и подростков, до 20 февраля запустив бота и до 1 мая набрав требуемую аудиторию.|Собрать команду; Провести анализ на выявление потребностей в данном сервисе у потенциальной аудитории; Собрать базу упражнений, содержащую от двух упражнений; Проконсультироваться со специалистами: фитнес-тренер, врач-остеопат; Снять небольшие видео с техникой выполнения упражнений; Создать бота в Телеграм: настроить сервер, развернуть базу; Набрать аудиторию.|Многие студенты и подростки страдают от проблем со спиной. Чаще всего это связано именно с неправильной осанкой. У большинства не получается следить за своей осанкой, пока они сидят. Что непосредственно влияет на их здоровье: головные боли, проблемы с желудком, сердцем и так далее. Именно они в основном входят в целевую аудиторию проекта. Так как в сервисе собраны комплексы упражнений, которые не только удовлетворяют всем требованиям, но и не будут занимать много времени. Поэтому такой сервис будет востребован. У целевой аудитории улучшиться состояние здоровья и самочувствие: у кого-то уйдут головные боли, у кого-то боли в спине пройдут, улучшится работа кишечника, сердца и других жизненно важных органов. Соответственно, повысится успеваемость в ВУЗе или школе и общая продуктивность.|https://drive.google.com/file/d/1PMQljYktEDXBLkiv79ImikOhnVbuQ3xp/view?usp=sharing, https://drive.google.com/file/d/1Qt9cqCI6WBJR0Q0UxQta6KWQzLuKfy1M/view?usp=sharing|1/5
Турнир по Волейболу|Открыт|Социальная деятельность, Волейбол|Данный проект направлен на решение одной из самых актуальных проблем иностранных студентов, обучающихся в НГУ – их социализации. Одним из наилучших способов решения этого была и есть коммуникация, общение с другими людьми, с единомышленниками, однако, когда кто-то не испытывает проблем с нахождением коллектива и знакомств, для других это может являться существенной проблемой. Именно для этого существуют различные мероприятия, направленные на нетворкинг и нахождение общения. Это может быть как какими-либо семинарами и дискуссиями, так и спортивными турнирами или дружескими матчами. Обобщая вышесказанное, проект направлен на проведение спортивного турнира, в ходе которого иностранные студенты заведут новые знакомства.|Самой актуальной проблемой некоторых иностранных студентов, обучающихся в НГУ является социализация. Студенты, приезжая учиться по обмену или же на обыкновенной основе в другие государства, сталкиваются с проблемами культурного шока, общения, в некоторых случаях тоски по дому.|Провести турнир, состоящий из 7 матчей, за 2 дня по волейболу для всех желающих, без различия на наличие и развитость навыков игры, до марта 2024 года, что позволит упростить социализацию иностранных студентов.||Презентация проекта Устав проекта||0/3
Танцуй, НГУ: Мастер-классы|Открыт|Социальная деятельность, Танцы, Мастер-класс|У многих зрителей фестиваля «Танцуй, НГУ» и просто любителей танцев есть потребность поучаствовать в мероприятии и разнообразить свой досуг.  Мастер-классы дадут возможность всем желающим стать участниками, независимо от имеющихся у них навыков. У новичков будет возможность выучить танцевальную связку или технику. Участники с опытом смогут улучшить свои навыки или попробовать себя в новом стиле благодаря профессиональным хореографам, которые будут проводить мастер-классы. Эти мастер-классы будут довольно разнообразны и будут проводится в разное время, что позволит участникам познакомиться не с одним новым направлением танцев, а с несколькими. Предоставленный выбор поможет людям понять, что им больше подходит, и вдохновит на дальнейшие занятия. После нескольких дней мастер-классов участники смогут определиться каким направлением им бы хотелось заниматься дальше и через хореографов, проводивших мастер-классы, записаться, тем самым после мастер-классов «Танцуй, НГУ» расшириться, хореографы привлекут в свои студии новых учеников, а участники пойдут в студии заниматься у уже знакомых им хореографов.|В последний год зрители фестиваля «Танцуй, НГУ» подходили к организаторам и интересовались направлениями выступающих и студиями, в которых они могут попробовать себя в новых стилях или в танцах вообще, если не имеют опыта, но испытывают желание (таких интересующихся было около 30 человек). Кто-то подходил в одиночку, а кто-то компаниями. Многие из интересующихся так и не дошли до пробных занятий у хореографов. Изначальная задумка организаторов насчет формата «Танцуй, НГУ» не могла удовлетворить эту потребность участников и зрителей.|Привлечь 70 новых зрителей и участников в фестиваль «Танцуй, НГУ», предоставить возможность изучать новые направления для участников прошлых лет путем проведения танцевальных мастер-классов в первые дни(от трех до пяти) мероприятия до мая 2024 года.|Найти студии в НГУ или Академгородке; Связаться с найденными студиями; Найти участников мастер-классов, посредством онлайн опроса; Подготовить помещения к мастер-классам; Афишировать проводимые мастер-классы; Провести запланированное мероприятие.|Проект ориентирован, в первую очередь, на некоторых зрителей фестиваля «Танцуй, НГУ», которые хотят принять участие в нем. После участия в мастер-классах у таких людей появится возможность успешно вовлечься в выступление перед зрителями. Так же в таких мастер-классах заинтересованы организаторы вышеупомянутого фестиваля, которые не удовлетворяли данную потребность до этого.|https://drive.google.com/file/d/1l3DJ_4rGxo0QS4E8TbPBAtUZdt-NnWvh/view?usp=drive_link, https://drive.google.com/file/d/1eKl_kX7tmvDGYTGrUTv7E9L2PcXE7lgn/view?usp=drive_link|4/4
Тайм-менеджмент|Модерация|Образовательная деятельность, Управление временем|Результат данного проекта - создание рабочей тетради, содержащей материалы об эффективной организации времени. В которой мы представим не только теоретические сведения, но и практические инструменты для успешного применения усвоенных методов.  В контексте избытка советов в интернете будут выделены лишь несколько методов, которые будут проверены на студентах, работающих над разными проектами, и показавших наибольшую эффективность. Дополнительно, в формате тетради можно реализовать различные задания, показывающие преимущества планирования. Продукт проекта - не просто предоставить информацию, но и создать целостный подход к эффективному управлению временем, который студенты могут легко внедрить в свою повседневную жизнь, достигая максимальной продуктивности в учебе и проектной деятельности.|Студенты неэффективно тратят свое время, из-за чего они не успевают усваивать весь материал, который дают им на парах. На фоне постоянного стресса о неусвоенном материале, плохой успеваемости и недостатка времени у них может произойти эмоциональное выгорание. Из-за недостаточных навыков планирования времени студенты первого курса сталкиваются с проблемами в организации своего времени, что приводит к трудностям в усвоении материала, уровню стресса и снижению успеваемости, что особенно критично ввиду высокого процента отчислений (20-50%) на механико-математическом факультете, согласно статистике МГУ и МГТУ. Решение этой проблемы крайне важно в настоящий момент, поскольку эффективное управление временем является ключевым фактором успешной учебы в вузе и пригодится в будущей профессиональной карьере. Неэффективное управление временем может приводить к негативным последствиям, таким как понижение качества учебы, срыв дедлайнов, пропуск занятий, ухудшение здоровья, выгорание, депрессия, утрата интереса и смысла жить дальше.|До 1 марта интегрировать изученные знания в области тайм-менеджмента для разработки эффективных методов управления временем, оформить полученный опыт в виде готовой книжечки об оперативном планировании и управлении временем (ОПД) в начале апреля, представив результаты на защите в мае в сотрудничестве с другой группой.||Презентация проекта Устав проекта||2/5
3D-тур по НГУ|Открыт|ИТ, Интерактивная карта|Для многих абитуриентов поиск и выбор университета является важным и сложным процессом. Однако, не все абитуриенты имеют возможность лично посетить те университеты, которые представляют для них интерес. Это также относится к абитуриентам из других стран, которые физически не могут посетить университеты перед принятием решения.  Таким образом, создание 3D-тура, который реализуется в рамках данного проекта, станет полезным инструментом для абитуриентов, помогающим им принять решение о выборе университета, а также для всех заинтересованных лиц, которые хотят более полно изучить территорию, здания и возможности университета.|Абитуриенты желают увидеть, место их будущего обучения, но, в случае с НГУ, они могут столкнуться с трудностью, в физическом посещении университета. Для многих абитуриентов поиск и выбор университета является важным и сложным процессом. Однако, не все абитуриенты имеют возможность лично посетить те университеты, которые представляют для них интерес. Одна из причин может заключаться в том, что они живут далеко от топовых университетов, другая причина может быть связана с ограничениями, такими как денежные затраты или невозможность присутствовать на месте в дни открытых дверей. Это также относится к абитуриентам из других стран, которые физически не могут посетить университеты перед принятием решения. Команда данного проекта провела опрос среди учащихся 10–11 школ России, и для многих наличие 3D тура позволяет сложить более целостную картину об университете, сравнить его с другими, выделить какие-то особенности и отличительные черты.|Предоставить потенциальным студентам возможность посмотреть на НГУ изнутри, не посещая физически университет, путем создания проработанной виртуальной экскурсии с достижением 100% покрытия всех планируемых зон и объектов внутри университета, с использованием современного программного обеспечения до 1 июня.|Провести предварительные исследования о необходимых технических решениях для создания трёхмерной карты; Снять и обработать панорамные фотографии зон и помещений в университетском кампусе; Разработать интерактивную трёхмерную карту, интегрирующую панорамные фотографии и дополнительную информацию о каждом объекте; Протестировать и отладить собранный виртуальный тур.|Проект, в первую очередь, нацелен на абитуриентов, которые не имеют возможности посетить лично университет до принятия решения о поступлении. Например, иностранные или иногородние студенты, которым такая поездка будет очень затратна. Также, такая карта будет полезна всем лицам, заинтересованным в осмотре текущей обстановки в НГУ. Например, некоторым выпускникам НГУ, уже получившим высшее образование.|https://drive.google.com/file/d/1hx2zS7dbRCJu2_WIM2uq_5VziJZ7BfSG/view?usp=drive_link, https://drive.google.com/file/d/1XrT1TXW9_A72skoFFC5buCBpB9afx32m/view?usp=sharing|0/5
Видеоархив учебных занятий ММФ|Закрыт|Образовательная деятельность, Видео-материал|Лекции и практические занятия являются основными источниками знаний по некоторой учебной дисциплине.  Лекции предоставляют студенту основную теоретическую информацию, а практические занятия дают возможность студентам применить свои теоретические знания на практике. Однако на основе интервью было выявлено, что среди студентов ММФ прослеживается тенденция к уменьшению популярности лекций по мере прохождения обучения. Так из интервью, проведённых со студентами первого, третьего и четвертого курсов ММФ, было выяснено, что студенты предпочитают практические занятия лекциям, потому что, по словам студентов, «семинары лучше помогают понять ту или иную тему, что значительно упрощает дальнейшую подготовку к экзаменам, а лекции, которые в основном содержаться в текстовом формате, можно прочитать и разобраться в них самостоятельно»|Из проведенных интервью и наблюдений был сделан вывод, что у студентов ММФ существует потребность в усвоении учебного материала по тому или иному курсу. Под словом «усвоение» подразумевается полное понимание учебного материала, умение ориентироваться в этом материале и применять полученные теоретические знания на практике.|До 31 мая 2021 создать на платформах google.sites и YouTube видеоархив учебных занятий ММФ, содержащий 24 дополнительных занятия по курсу высшая алгебра, которые помогут студентам в усвоении данного курса.|Определить тематики дополнительных занятий, которые будут записываться; Изучить особенности использования съёмочного оборудования в аудитории 4109 для создания наиболее качественного продукта; Создать канал на видеохостинге, который будет являться видеоархивом для записанных учебных занятий; Найти преподавателя, который согласится проводить учебные занятия; Записать учебные занятия в период 2-го семестра.|Проект ориентирован, в первую очередь, на студентов ММФ, которые испытывают трудности в восприятии учебного материала с первого раза. Таким образом, повысится понимание, заинтересованность обучающихся по курсу, который будет записан в ходе реализации проекта.|https://drive.google.com/file/d/1JMZi9oB4EXGBE0sr3hjidEwiCBs3Tg30/view?usp=drive_link|0/5
Настольная игра для ДОД ШАД|Закрыт|Социальная деятельность, Творческая деятельность|В рамках проекта создается стилизованная версия популярной игры «Дженга», нацеленная на знакомство участников Дня открытых дверей, который проводит Школа анализа данных, стилизованная брендом Школы анализа данных, аккуратно выглядящая.|Необходимо познакомить абитуриентов ШАД на Дне открытых дверей и предоставить им возможность найти единомышленников. А также погрузить абитуриентов в традиции внеучебных мероприятий ШАД, тем самым дав им почувствовать себя сопричастными.|Стилизовать под ШАД настольную игру «Дженга», подходящую под критерии заказчика, для Дня открытых дверей Школы анализа данных к 23 апреля 2023 года.|Продумать концепцию и создать интересную настольную игру для школы анализа данных; Закупить материалы, необходимые для кастомизации игры; Кастомизировать игру; Отдать игру заказчику для проведения мероприятия.|Проект ориентирован, в первую очередь, на организаторов дня открытых дверей Школы анализа данных, которым требуется игра, нацеленная на знакомство участников мероприятия, стилизованная брендом Школы анализа данных, аккуратно выглядящая. Так же на всех участников проводимого ШАД мероприятия, которые смогут хорошо провести время за игрой.|https://drive.google.com/file/d/1dR_UY0lZjvQmwMcIyrKcAbtZbKMKdyS6/view?usp=drive_link|0/5
Неделя доброты|Закрыт|Социальная деятельность, Добровольческая деятельность|Проект является продолжением и развитием благотворительной акции «Неделя доброты 2020-2021» и направлен на помощь приюту для животных Академгородка. Данный проект материально и физически поможет бердскому приюту «Надежда», тем самым облегчит жизнь находящихся в нем животных. Множество бездомных животных ежегодно попадают в приюты, зачастую они оказываются на улице из-за недобросовестных хозяев. Жизнь в приютах осложняется тем, что они сильно ограничены в средствах, так как финансирование выделяется на то количество животных, на которое рассчитан приют, а он зачастую переполнен. Также в случае с муниципальными или другими бюджетными приютами нередки ситуации финансирования только оплаты труда сотрудников, как, например, в случае с приютом «Надежда», то есть корм и другие необходимые вещи покупать не на что. Поэтому организациям приходится бороться с проблемами нехватки кормов и прочего продовольствия для содержания питомцев.|Множество бездомных животных ежегодно попадают в приюты, зачастую они оказываются на улице из-за недобросовестных хозяев. Жизнь в приютах осложняется тем, что они сильно ограничены в средствах, так как финансирование выделяется на то количество животных, на которое рассчитан приют, а он зачастую переполнен. Также в случае с муниципальными или другими бюджетными приютами нередки ситуации финансирования только оплаты труда сотрудников, как, например, в случае с приютом «Надежда», то есть корм и другие необходимые вещи покупать не на что. Поэтому организациям приходится бороться с проблемами нехватки кормов и прочего продовольствия для содержания питомцев.|В период с декабря 2021 по май 2022 провести на кампусе НГУ и магазинах Академгородка и г. Бердск 3 акции по сбору гуманитарной помощи для приюта для животных «Надежда» г. Бердск, установив боксы для продовольствия и собрав в денежном эквиваленте продукции не менее чем на 50 тыс. руб.|Найти спонсорскую и партнёрскую помощь; Самостоятельно изготовить боксы; Провести три акции согласно указанному формату – 10 дней в декабре, 2 недели в марте и 2 недели в апреле; Осветить проблему плохих условий жизни животных в приюте в социальных сетях.|Проект ориентирован, в первую очередь, на помощь животным, находящимся в приюте «Надежда», г. Бердск, условия размещения которых улучшатся по причине дополнительного финансирования, полученного в результате благотворительной акции. Так же все посетители, проводимых акций, благотворители и спонсоры-организации. Так же на спонсоров проекта, получивших дополнительную рекламу своих организаций, за счет рекламных постов в социальных сетях и на баннерах.|https://drive.google.com/file/d/1RG1mwloMFqj6ATYIunDkOwWRfWRyY6si/view?usp=sharing, https://drive.google.com/file/d/11E5d83rxBM_BeJqDqX-p0gtTK6Bh7bjG/view?usp=sharing|2/5
Изображение истории ММФ|Открыт|Творческая деятельность, Роспись стен, Искусство|Каждый студент и сотрудник, который оказывается в университет, должен понимать, что он становится частью истории этого учебного заведения. Знание истории своего факультета не только помогает лучше понимать его традиции и ценности, но и вдохновляет на достижение новых высот.  Проект «Изображение истории ММФ» был разработан как ответ на эту потребность. В рамках данного проекта создается росписи на стене в тематике истории ММФ НГУ.|Потребность, которая решается в рамках данного проекта, заключается в том, что малое количество студентов и сотрудников интересуются историей своего факультета. Но данное знание имеет большое значение. Оно помогает лучше понять, как развивался университет и какие традиции были сформированы. Знание истории своего факультета не только помогает лучше понимать его традиции и ценности, но и вдохновляет на достижение новых высот.|До 15 мая 2024 года в рамках курса ОПД привлечь внимание студентов к истории и достижениям факультета, создать особую атмосферу, за счет качественно расписанной стены с тематикой истории механико-математического факультета.|Исследовать историю ММФ и провести сбор необходимой информации; Разработать дизайн и концепцию росписи на стене; Определить технические аспекты; Получить согласие на роспись стены с исторической тематикой, связанной с ММФ НГУ; Найти месторасположение росписи; Реализовать росписи стены в новом корпусе НГУ; Презентовать готовую роспись.|Проект ориентирован в основном на следующие группы людей: 1. Студенты и выпускники факультета. Эта группа обладает особым интересом к прошлому своего образовательного учреждения. Они хотят узнать больше о развитии факультета, его значимых событиях и достижениях. Проект может представлять для них возможность ощутить связь с предыдущими поколениями студентов и узнать о том, как факультет превратился в то, чем он является сегодня. 2. Нынешние преподаватели и сотрудники факультета. Данная группа людей также может проявлять интерес к истории факультета, поскольку они прямо связаны с его настоящим. Знание прошлого может помочь им лучше понять и оценить текущую ситуацию на факультете, его ценности и традиции. Эти люди могут быть заинтересованы в проекте, чтобы получить новые исторические данные о своем рабочем месте.|https://drive.google.com/file/d/1LQYMA4fkmF4UH1LZlzFqzMTC4Quzgy2O/view?usp=drive_link, https://drive.google.com/file/d/1rKGL9psFa1NwochzGwo3hb0bhgKz-o0N/view?usp=drive_link|0/5
Агрегатор проектов|На доработку|ИТ, Проектная деятельность|В рамках данного проекта восстанавливается работоспособность данного сайта - projects.mmf.nsu.ru, за счет, в первую очередь, наполнения актуальным контентом. Например, команда составляет и публикует карточки проектов, которые уже были реализованы или в текущий момент находятся в процессе доработки. Получение данных материалов происходит с помощью различных средств связи посредством коммуникации с разными проектными командами студентов НГУ(или бывших студентов).|Основой любого проекта всегда является его идея. Именно она определяет последующий ход действий, необходимых для достижения конечной цели. У разных команд могут различаться методы решения тех или иных задач, возникающих в процессе создания проекта, но итоговый результат проекта непосредственно зависит от идеи. Таким образом, формулирование идеи является одним из важнейших этапов создания проекта. Создание проекта часто требует выполнения различных задач и специфических навыков. Набор команды позволяет распределить ответственность между разными участниками проекта в соответствии с их экспертизой и опытом. Каждый член команды может внести свой вклад, способствуя более эффективному и успешному выполнению проекта. Также работа в команде способствует повышению производительности. Таким образом, поиск нужных людей так же является неотъемлемой частью создания проекта. В связи с прекращением работы сайта студенты потеряли доступ к архиву проектов. У Анастасии Валерьевны Карпенко появилась потребность в восстановлении работы сайта. Таким образом, заказчик проекта имеет потребность в восстановлении базы карточек на сайте, позволяющей студентам получать информацию о проектах, реализуемых в рамках дисциплины ОПД.|К 30 мая 2024 составить 50 карточек проектов и опубликовать их на сайте «Агрегатор проектов ММФ НГУ», актуализировать справочную информацию на нём, предварительно согласовав все правки с заказчиком.|Проанализировать потребность проекта; Изучить уже существующие решения этих или схожих проблем, или ранее существовавшие; Установить контакт с главным стейкхолдером, проконсультироваться по методам достижения цели; Обратиться к студентам, ранее создавшим проект и находящимся непосредственно в процессе создания, для получения материалов по их проектам; Создать первичные карточки, находящиеся в доступе по ссылке, при положительном итоге переговоров; Согласовать созданные карточки с командами и получить у них согласия на публикацию в общий доступ; Опубликовать созданные карточки в общий доступ; Актуализировать информацию, расположенную на сайте; Согласовать с главным стейкхолдером результат работ.|Данный проект ориентирован, в первую очередь, на студентов, которые сейчас обучаются в университете, они могут использовать архив проектов для получения вдохновения, идей и примеров реализации своих проектов И могут изучить проекты своих предшественников, оценить их подходы и решения, а также получить возможность извлечь уроки из успешных проектов и избежать повторения ошибок. Также преподаватели и научные руководители тоже заинтересованы в нашем решении. Архив проектов студентов предоставляет ценный источник материалов для преподавателей и научных руководителей. Они могут использовать архив для изучения академических и прикладных проектов, проводить анализ и оценку проектной деятельности студентов, а также использовать примеры проектов в учебных материалах и методических пособиях. И, конечно, работодатели, архив проектов студентов может заинтересовать индустриальных партнеров и потенциальных работодателей, которые ищут студентов с определенными навыками и опытом. Иметь доступ к архиву проектов позволяет им оценить качество работы студентов, ознакомиться с их достижениями и потенциалом, а также выбрать наиболее подходящих кандидатов для сотрудничества или трудоустройства.|https://drive.google.com/file/d/18wesYjozVjSGRNM8bfck6bq2yXoPe1tM/view?usp=drive_link, https://drive.google.com/file/d/11M-T8tFfuk4e-povX1HnL1lLiCVY6577/view?usp=drive_link|4/4
