Название проекта|Статус|Тэги|Описание|Проблема/потребность|Цель|Задачи|Контур употребления|Материалы проекта|Команда проекта
ЗАКТИВ|Модерация|Спортивные игры, Соревнование, Физическая активность|В рамках данного проекта проводятся товарищеские матчи для сборной НГУ по мини-футболу, что поможет команде получить ценный опыт игры с сильными соперниками и повысить уровень игры, и развить тактические навыки. Во-вторых, участие в матчах может привлечь внимание общественности к команде и спорту в целом, что приведет к большей поддержке со стороны университета и студенческого сообщества. В-третьих, успешные выступления в товарищеских матчах могут стать стимулом для дальнейшего развития команды и достижения еще более высоких результатов. В-четвертых, игроки сборной НГУ по футболу получат уверенность перед важными играми на турнирах, тем самым увеличат уровень своей игры на поле. В-пятых, будут отработаны игровые стратегии и комбинации, объявленные тренером.|Сборная НГУ по футболу - это команда студентов, которые потребность проявляют большой интерес к этому виду спорта и стремятся достичь высоких результатов. Однако, чтобы добиться успеха и привлечь внимание общественности, необходимо побеждать в турнирах и соревнованиях с другими, сильными командами. Для этого нужна практика и эксперименты. В этом контексте, проведение товарищеских матчей является необходимым условием для развития команды и повышения ее уровня игры.|До 15 мая 2024 года провести 2-3 товарищеских матча для сборной НГУ по футболу для получения опыта в матчах и отработке игровых комбинаций и стратегий сборной НГУ по футболу.|Найти сильного соперника, который согласится на проведение матча; Определить место и время проведения матча; Обеспечить наличие необходимого спортивного инвентаря и экипировки для команды; Подготовить игроков к матчу: провести тренировки, разработать тактику игры, определить состав команды; Обеспечить безопасность игроков; Разместить информацию о матче в социальных сетях, на сайте университета, распространить листовки и объявления; Организовать работу судей и обеспечить соблюдение правил игры; Создать список стратегий и комбинаций, которые необходимо укрепить, по объявлению тренера; Обеспечить фото- и видеофиксацию матча, создать отчеты; Проанализировать результаты матча и выработать рекомендации для дальнейшего развития команды.|Данный проект ориентирован, в первую очередь, на игроков сборной НГУ по футболу, которые после участия в товарищеских матчах улучшат свой опыт игры перед важными играми на турнирах. В результате, тренер сборной НГУ по футболу, заинтересованный в получении дополнительного опыта для развития команды и роста в профессиональных компетенциях, получит искомое. Также другие команды, принявшие участие в товарищеских матчах, получат аналогичные преимущества.|https://drive.google.com/file/d/1VkQvgflpF2BjuQtuRoqLjAvQl-PjTiqv/view?usp=drive_link, https://drive.google.com/file/d/1hjQM9SOh2M9spSgOAPQ-OhygWqJPIHSF/view?usp=drive_link, https://drive.google.com/file/d/1mm3odznUoSV7yaLKSIH1VdKpk5BEdqdP/view?usp=drive_link|3/3
Разработка рекомендательной системы для платформ по просмотру аниме, чтению манги и ранобэ|Модерация|ИТ, Машинное обучение|В рамках данного проекта создается рекомендательная система по предоставлению конечному пользователю списка, содержащего аниме, ранобе и мангу, которые, исходя из предоставленных пользователем данных, будут наиболее интересны. Такая система будет работать без большого количества дополнительных манипуляций, обладать подробной документацией.|У пользователей сайтов по просмотру аниме, чтению ранобе и манги возникают трудности с поиском потенциально интересных им произведений для просмотра\чтения, так как зачастую при попытках самостоятельного поиска подобных произведений всё упирается в проблему информационной перегруженности в связи с наличием огромного количества различных произведений (так например на shikimori.one находиться около 20 тысяч различных аниме, 36 тысяч манги и 7 тысяч ранобэ), в связи с чем изначально приятный вариант времяпрепровождения начинает приносить меньше удовольствия и отбирать лишнее время.|Предоставить пользователям возможность удобного поиска потенциально интересных тайтлов посредством разработки и распространения рекомендательной системы на специально разработанном сайте с целевой посещаемостью 300 пользователей в месяц до 30 апреля 2024 года.|Выбрать реализуемые подходы; Разработать рекомендательную систему; Составить документацию; Распространить, прорекламировать продукт проекта.|Данный проект ориентирован, в первую очередь, на пользователей сайтов по просмотру аниме, чтению ранобе и манги, у которых возникают трудности с поиском потенциально интересных им произведений для просмотра\чтения.|https://drive.google.com/file/d/1ZI3fegpd3nhw4RaXmJymmLmB7XBsSpV8/view?usp=drive_link, https://drive.google.com/file/d/1HZBXDZSFw2qklvTH3ww_7HwBP8YHgYLy/view?usp=drive_link|1/2
Мастер-класс по созданию кукол на Масленицу|Открыт|Творческая деятельность, Рукоделие|В рамках реализации данного проекта будет организована, в день проведения масленичных гуляний в НГУ, площадка, на которой все заинтересованные в этом люди смогут изготовить оберег - масленичную куклу, проведен мастер-класс по изготовлению куклы в практическом формате. Эту куклу посетители мастер-класса в дальнейшем смогут использовать на протяжении года как оберег, помогающий справиться в трудную минуту, или просто сувенир, который будет радовать глаз. В качестве приятного бонуса участникам мастер-класса будут подарены открытки с необычными рецептами блинов, идеями их украшения и подачи на стол.|Некоторые посетители мероприятия не имеют выраженный интерес к физической активности, но в рамках этого праздника имеют потребность в активности. Такие люди, заинтересованные в русской культуре, хотят ближе с ней познакомиться. Формат мастер-классов интересен детям, посещающим мероприятие - это возможность мастерить что-то своими руками и приобщиться к русским традициям.|Организовать и провести мастер-класс по созданию кукол-оберегов в количестве 30 штук в рамках Масленицы НГУ 15 марта 2024 года.||Презентация проекта Устав проекта||1/3
"Сайт игры ""Математический тривиадор"""|Открыт|Создание сайта, Создано заказчиком|Научно-популярный фестиваль «Это математика» регулярно проводит командную игру «Тривиадор». Для удобства проведения игры хотелось бы иметь сайт, который автоматически будет пересчитывать баллы участников при игровых действиях и отображать текущее положение игроков.|Научно-популярный фестиваль «Это математика» регулярно проводит командную игру «Тривиадор». На данный момент это технически не удобно: кроме компьютера и проектора, необходим планшет или графический планшет. Такого оборудования в распоряжении команды не много, поэтому невозможно проводить несколько игр одновременно. Также, участникам фестиваля сложно играть в эту игру самостоятельно (не в рамках фестиваля), потому что данного оборудования у них может не быть.|Фестиваль «Это математика» будет использовать результаты проекта для проведения своих мероприятий.||||0/3
День числа π|Открыт|Математическое мероприятие, Образовательная деятельность|В рамках данного проекта будет проведено по 4-6 уроков в каждой из двух выбранных школ, где участники проекта познакомят школьников с числом π. Мероприятие будет содержать в себе теорию для ознакомления с данной темой. После теоретической части будут решаться несложные задачи или проведена викторина. В конце мероприятия детям будут выданы памятки, в которых будет собрана самая важная информация с уроков.|Методы, используемые в традиционном обучении, направлены на то, чтобы ученик повторил действия и рассуждения учителя при выводе правил, законов и теорем, и запомнил их. Однако, такой метод обучения стимулирует только внешнюю активность, поскольку внутренних мотивов недостаточно. Не секрет, что одной из серьезных проблем школы является нежелание подавляющего большинства учащихся учиться. Исследования показывают, что только 4-7% учащихся сохраняют интерес к учебе. Эта проблема становится катастрофической для общества, так как приводит к ряду других проблем: усиливается принудительность учебного процесса, вызывая еще большее отторжение к учению, подавляются творческие начала у детей, разрушаются личностные качества учащихся.|Познакомить школьников с числом π 14 марта 2024 года в рамках открытых уроков для 5-7 классов.|Изучить методики взаимодействия с детьми; Изучить литературу по темам, связанным с числом π, его свойствами и значимостью в математике; Выделить основные достижения ученых в приближении числа π; Составить план урока; Сделать викторину и памятку; Договориться со школами о проведении мероприятия; Подготовить презентацию к уроку, которая поможет ученикам лучше усвоить информацию.|После данного мероприятия школьники узнают о том, что такое число числе π и о традициях на этом празднике, названном в честь этой константы. Дети научатся решать простые задачи по теме окружность. Они смогут найти длину, радиус, площадь окружности. Школьники по-новому взглянут на мир математики, узнают об иррациональных числах.|https://drive.google.com/file/d/1kxgFBf9vShrZP31E4k80K09LXcoEQQS6/view?usp=drive_link|2/4
Портал аналитических услуг ИГМ СО РАН|Открыт|ИТ, Создание сайта|Анализ вещества — неотъемлемая часть деятельности некоторых естественнонаучных институтов. В том числе Института геологии и минералогии имени В.С. Соболева СО РАН. В рамках данного проекта создается веб-приложение, сходное по структуре с интернет-магазином, позволяющее научным сотрудникам Института геологии и минералогии имени В.С. Соболева СО РАН подавать заказы на аналитические услуги.|При разговоре с заместителем директора Института геологии и минералогии имени В.С. Соболева СО РАН выяснилось, что у лабораторий, включённых в ЦКП, разные формы учёта заказов и представления результатов, из-за чего наблюдается несогласованность, децентрализованность и беспорядок в процессе общего учёта заказов и проведения аналитики. Из чего следует потребность у дирекции и аналитиков Института в централизованном учёте заказов. Время выполнения обуславливается тем, что сейчас руководством Института разрабатываются централизованная финансовая поддержка лабораторий и единые принципы ценоформирования. Поэтому централизованный учёт естественным образом вписывается в весь процесс централизации.|К 15.05.2024 разработать веб-приложение, сходное по структуре с интернет-магазином, позволяющее научным сотрудникам подавать заказы на аналитические услуги, аналитикам — принимать заказы и менять их статус, администраторам — изменять “товары” и смотреть аналитику, которое будет протестировано, свободно от ошибок в коде, приводящим к сбоям в работе приложения, и передать это приложение вместе с документацией сектору информационных технологий ИГМ СО РАН на внедрение в цифровую инфраструктуру Института геологии и минералогии имени В.С. Соболева СО РАН.|Изучить язык TypeScript и устройство платформы Vendure; Разработать структуры данных, необходимые для работы приложения; Разработать необходимый функционал в рамках конструктора, по необходимости модифицируя шаблон; Разработать видимую часть системы; Провести тестирование соответствующих частей программы и демонстрацию программы сотрудникам; Написать документацию и лицензию программного продукта; Узнать у соответствующих лабораторий подробные характеристики методов анализа и получить образцы заявок и отчётов; Передать программный продукт с документацией сектору информационных технологий ИГМ СО РАН для внедрения в цифровую инфраструктуру.|Данное решение направлено, в первую очередь, на дирекцию и администрацию ИГМ СО РАН, потому что оно позволит разрешить проблему децентрализованного учета заказов на аналитические услуги, оперативно изменять цены на услуги, создать аналитические или статистические отчеты о заказах без особых трудностей. Также продукт данного проекта поможет научным сотрудникам, потому что они получат центральный портал для всех лабораторий института, предоставляющих аналитические услуги, возможность удалённо сделать заказ, возможность подать заявку другому аналитику в случае отсутствия ответа от того, кому изначально подали заявку.|https://drive.google.com/file/d/1eNED5jT4Ny8AASbGP2OBmRrr8xjLu5d-/view?usp=drive_link, https://drive.google.com/file/d/1OBkAOF8iyeIZalDuf85Gt51qzFkb_xZ0/view?usp=drive_link|0/4
Обучение нейронной сети для определения и анализа площадей и объемов отходов горнодобывающих предприятий на основе данных ДЗЗ|Открыт|Экология, ИТ, Машинное обучение|Среди факторов, вызывающих эмиссию парниковых газов, большое внимание стоит уделять горнодобывающей промышленности. Оценка компенсации выбросов горнодобывающих предприятий отработанной породой может сильно изменить существующее представление об углеродном балансе РФ и отдельных ее регионов. В рамках данного проекта создается нейронная сеть, обученная определять хвостохранилища и отвалы горнодобывающих предприятий на снимках ДЗЗ, а также оценивать их объемы и размеры. Нейросеть будет получать на вход снимки ДЗЗ и определять расположение хвостохранилищ и отвалов предприятий.|Проблема получения более точной оценки углеродного баланса страны и ее регионов можно считать одной из центральных, стоящих перед Россией на пути к борьбе с экологическими проблемами в настоящее время. Полностью не изученный фактор компенсации выбросов парниковых газов горнодобывающих предприятий отработанными породами может сильно искажать существующую оценку углеродного баланса страны и ее регионов. Решение этой проблемы является крайне важным для понимания текущего экологического состояния страны.|Создать нейронную сеть, обучить ее обнаруживать отвалы, хвостохранилища и определять их площади и объемы по снимкам ДЗЗ, с точностью модели от 90%, передать заказчику до 31.05.24.|Изучить специфику цели проекта; Определиться с применяемыми для построения модели технологиями и методами; Сформулировать план реализации проекта; Согласовать полученный план с функциональным заказчиком; Разработать прототип на открытых данных; Проанализировать необходимые параметры снимков для нейронной сети; Обучить и проверить модель на полученных от заказчика снимках; Провести мероприятия по улучшению достигнутых результатов, по необходимости; Представить готовый продукт заказчику.|Результат данного проекта - нейронная сеть будет в дальнейшем использована функциональным заказчиком (Климатическим центром НГУ) для реализации общего проекта по оценке компенсации выбросов парниковых газов отработанными породами. В дальнейшем анализ будет осуществляться при помощи лабораторных исследований пород и коррелироваться с данными, полученными нейронной сетью.|https://drive.google.com/file/d/1rul7dqq0PuGLoRdzDuQeqYvAdj1gvZ-O/view?usp=drive_link, https://drive.google.com/file/d/1bhybkk8PoOe5JrvepKapWLUMTmceqdVb/view?usp=drive_link|4/4
Математика школам|Открыт|Образовательная деятельность, Социальная деятельность|В рамках данного проекта планируется с учениками МБОУ СОШ №8 проработать следующие задачи из ОГЭ: блок связанных между собой задач №1 - №5, поскольку решение каждой последующей задачи зависит от ответа на предыдущую, и модуль геометрии №15 - №19, так как на государственном экзамене участнику необходимо решить как минимум 2 задачи данного раздела, чтобы получить оценку выше неудовлетворительной. За счет увеличения количества времени, уделяемого на отработку навыка решения задач из банка ОГЭ, ученики привыкнут к схемам решения, будут тратить меньше времени на определенные задачи и покажут высокие результаты на нашей пробной работе, приближенной к формату экзамена. Ожидается, что после посещения занятий ученики 9 класса научатся корректно решать тестовые задачи, применять имеющиеся знания и различные приемы для нахождения оптимальных решений.|На данный момент школа активно готовит девятиклассников к ОГЭ по математике. В ходе общения было высказано неудовлетворение результатами экзаменов прошлых лет. Ученикам 9 класса не хватает опыта в решении задач ОГЭ из-за недостаточного количества времени, выделенного на практику в учебном плане. Таким образом, ученики, не посещающие репетиторов, оказываются недостаточно подготовленными к сдаче экзамена.|К 15 мая решить с учениками 9 класса определенное количество вариантов ОГЭ, составленных из заданий открытого банка ФИПИ с отработкой тестовых задач для приобретения ими инструментов (навыков решения, опыта) для успешной сдачи экзамена за счет проведения занятий два раза в неделю, сбора обратной связи от учеников и организации пробных работ.|Договориться о месте, времени проведения и количестве уроков с администрацией школы; Выявить слабые места учеников (провести входное тестирование); Составить план учебных занятий; Согласовать план занятий с учителем математики; Подготовить материалы для проведения занятий; Проанализировать эффективность взаимодействия с классом; Провести заключительную проверочную работу; Оценить прогресс на основе анализа результатов проведенных работ.|В данном решении заинтересована, в первую очередь, ученики МБОУ СОШ №8, потому что после посещения данной серии занятий ученики будут лучше подготовлены к ОГЭ, и улучшатся некоторые знания и умения, связанные с областью математики. Также в данном проекте заинтересована администрация МБОУ СОШ №8, потому что улучшение успеваемости учеников, в том числе по результатам ОГЭ, положительно скажется на рейтинге школы.|https://drive.google.com/file/d/1WUz9h4THsJTo7wS3kvq4z1pdy8YvNsyl/view?usp=drive_link, https://drive.google.com/file/d/17aDKgrpJdMUDs7N73Uyzpqd9CZgEAw5M/view?usp=drive_link|5/5
Фиджитал турнир|Открыт|Киберспорт, Физическая активность, Соревнование|Фиджитал спорт – это относительно молодой вид спорта, который был официально признан в России 31 января 2023 года. К примеру, шутер, который в киберспорте называется “трехмерный тактический бой” – Counter-Strike: GlobalOffensive – это цифровая составляющая, а лазертаг или страйкбол – физическая.  Результат проекта - это проведенный фиджитал турнир в дисциплине трехмерного тактического боя. В данном виде фиджитал спорта проводится соревнование между 2 командами, в каждой из которых должно быть по 5 человек. Первый этап киберспортивный: команды проводят матч в компьютерной игре Counter-Strike: GlobalOffensive по соревновательным правилам. Второй тур этого соревнования продолжается в лазертаг прежним составом. Правила матча, проводимого в реальности должны быть максимально приближены к правилам компьютерной игры.|Фиджитал спорт - новый вид спорта, интерес к которому растет со временем. В данное время людям, которые хотят попробовать себя в огромном количестве разных фиджитал дисциплин, такой возможности не предоставляется. Фиджитал спорт - современный взгляд на активность современного человека, комбинирующий в себе много положительных свойств, и поэтому развитие данной разновидности спорта является очень важной задачей. Фиджитал способствует повышению физической активности людей, которые увлекаются киберспортом, и поэтому важность популяризации фиджитал спорта важна.|Провести во 2 семестре фиджитал турнир в дисциплине трехмерный тактический бой (“Counter-Strike: GlobalOffensive” + лазертаг) минимум для 4 команд по 5 человек на территории университета для студентов НГУ.|Провести встречу с ССК ЕНОТ для обсуждения возможного сотрудничества; Найти подходящее предложение по аренде лазертаг оборудования и связаться с компанией, предоставляющей данную услугу; Подготовить и провести рекламную компанию в социальных сетях (группа ММФ, группа ССК ЕНОТ, группы ММФ по курсам); Провести регистрацию на турнир; Подготовить регламент турнира и все необходимое оборудование; Провести турнир и подвести итоги.|В данном решении, в первую очередь, могут быть заинтересованы студенты НГУ, которые проводят много времени в сидячем положении и/или активно следят за киберспортом, потому что первая часть турнира схожа с привычным времяпрепровождением таких студентов, а вторая предоставляет возможность для активных действий, что позволит улучшить физическое состояние. Также в этом решении заинтересован ССК «ЕНОТ», потому что увеличится количество спортивных мероприятий, проводимых в НГУ.|https://drive.google.com/file/d/16uSU_s1X_y6RTC4Er2lwBSl5uuVeelKm/view?usp=drive_link, https://drive.google.com/file/d/1veaDD1IVbuXi0M4ctWLN0n66iexcH0EV/view?usp=drive_link|2/3
Helpmate|Закрыт|ИТ, Инфраструктура образования|В рамках данного проекта был создан веб-сервис для студентов НГУ, который помогает находить компанию для совместного изучения и обсуждения учебных материалов. Созданный бот подобен обычной переписке в социальной сети, в которой можно спросить своих знакомых какие-то непонятные моменты по учебе, или совместными усилиями, с друзьями пытаться понять общий материал. Только в данном решении круг людей не ограничивается лучшими друзьями в группе с универа - все заинтересованные в выбранной теме могут присоединиться к обсуждению на заданную тематику или же сразу попробовать ответить на вопрос в комментариях. Дополнительно имеется возможность задавать вопросы анонимно. То есть бот помогает найти заинтересованных в выбранной теме, и дает возможность тренировать навык объяснения и нарабатывать репутацию для будущего репетиторства.|При самостоятельном изучении материала у многих студентов возникает желание/потребность совместного изучения с другими студентами. Например, при подготовке к потоковым контрольным работам студентам легче разбирать вопросы вместе: можно обсудить спорные моменты, разобрать сложный материал. Также многим студентам более комфортно задавать вопросы сверстникам, а не преподавателям. Есть несколько способов найти компанию для совместной учёбы. Можно поговорить с одногруппниками и с друзьями, но в таком случае круг поиска людей может быть сильно ограничен. Ещё один способ решения проблемы - это публичные сообщества в социальных сетях, но данный подход, несмотря на свою простоту, имеет ряд недостатков, например, отсутствие структуры обсуждения вопросов в подобных сообществах.|До 01.09.2021 создать веб-сервис для студентов НГУ с возможностью задавать вопросы, находить компанию для их обсуждения, привлечь не менее 100 пользователей за июнь 2021.|Проанализировать потребность и собрать статистику; Промоделировать сервис и спроектировать его структуру; Разработать основной функционал сервиса; Протестировать решение в пробном режиме; Запустить систему для общего пользования; Прорекламировать созданную систему.|Основой целевой аудитории сервиса являются студенты младших курсов, так как описанный выше комплекс проблем для них имеет наибольшую актуальность по причине новизны большинства изучаемых предметов. Тем не менее, данное решение может вызвать интерес и у студентов старших курсов, учебные материалы которых обладают большей сложность, и вследствие большими возможностями для неполного понимания и ошибочных выводов.|https://drive.google.com/file/d/1-F6AC3hE58xq4byyijKdhlEgToz_y1-y/view?usp=drive_link, https://drive.google.com/file/d/1VQNz6d6SOWuAXyarimQgHjCV-3Heor0X/view?usp=drive_link|0/5
Турнир по Dota 2|Модерация|Киберспорт|Внимание к знаменитым игрокам приковано уже давно, а многие школьники мечтают уже не о футбольной карьере, а о карьере профессионального игрока в компьютерную игру. Школьники выросли и теперь пошли в университет, однако желания многих не изменились, что показал опрос, проведенный среди студентов НГУ. В рамках данного проекта организуется турнир по игре «Dota 2» среди студентов НГУ. Также по итогам турнира будут отобраны не менее 3 игроков для коллектива NSU.ESPORTS.|Желание многих студентов поучаствовать в киберспортивном турнире остается нереализованным по разным причинам. Наш турнир позволяет исключить невозможность собрать команду для участия (нами будут проанализированы анкеты участников и собраны команды для игроков без команды). Также турнир будет проводиться среди любительских коллективов, что позволит даже не самому опытному игроку погрузиться в атмосферу киберспорта, ведь одна из проблем существующих турниров – высокий порог входа. Кроме того, существующая нехватка участников коллектива NSU.ESPORTS должна быть исключена.|Провести турнир по игре «Dota 2» среди студентов НГУ, в котором примут участие не менее 5 команд, и определить победителей до 31.03.2024.|Создать пространство для организации турнира; Организовать проведение турнира; Провести рекламную кампанию и организовать процесс регистрации; Провести турнир; Подготовить отчёт по проделанной работе.|Данный проект ориентирован, в первую очередь, на студентов НГУ, которые примут участие в турнире, они смогут продемонстрировать навыки и реализовать себя. Также зрители данного турнира заинтересованы в интересном времяпрепровождении, что будет обеспечено за счет транслирования матчей. Также киберспортивное сообщество НГУ заинтересовано в успешном проведении турнира и его транслировании.|https://drive.google.com/file/d/1EQumeVtna7sXRfps5bu4bheXzYPnTGhI/view?usp=drive_link, https://drive.google.com/file/d/1f-clSH0WofuFvOG_vUCvs49A64PjnIW6/view?usp=drive_link|1/4
Открытый урок на тему «Элементы фольклорной импровизированной деятельности» в рамках взаимодействия участников образовательного процесса (дети с ограниченными возможностями здоровья ) в МБУ «Центр реабилитации им. А.И. Бороздина»|На доработку||*|*|*||Устав проекта||0/2
NSU OPEN CUP|Открыт|Киберспорт|В Академгородке отсутствует организованное сообщество по игре Valorant, однако общение с капитаном команды НГУ по этой игре показало, что у игроков есть желание участвовать в турнирах. Команда проекта ставит своей целью провести киберспортивный турнир по этой игре. Турнир пройдёт в два этапа: отборочный онлайн турнир и основной очный этап. Победившая команда получит денежные призы и станет ядром сообщества Valorant в Академгородке.|Проведённый среди студентов НГУ опрос показывает, что у игроков в Valorant есть запрос в формировании сообщества. Исходя из этого становиться очевидно, что проведение LAN-турнира будет способствовать формированию ядра сообщества из членов победившей команды и, возможно, из представителей остальных команд участвовавших в мероприятии, которые в будущем смогут повести всё сообщество за собой и не дадут ему бесследно пропасть. Кроме этого подобное событие в Академгородке сможет показать непросвещенной публике чем является киберспортивная среда в наше время и, возможно, вовлечь новые лица в новообразованное сообщество.|Провести на майских праздниках (11 – 12 мая) в стенах компьютерного клуба FeniiiX.GG LAN-стадию турнира по игре Valorant на четыре команды по пять человек, за счет предварительного online-отборочного турнира (крайний срок 9 – 10 мая) и аренды компьютеров на средства участников турнира.|Проведение рекламы турнира; Организация условий для проведения турнира (коммуникация с компьютерным клубом FeniiiX.GG); Формирование команд; Проведение отборочного этапа турнира; Проведение основного этапа турнира.|Проект направлен в первую очередь на игроков, заинтересованных в возможности принять участие в киберспортивном турнире. Также турнир интересен для возможных зрителей. Кроме того одной из заинтересованных сторон является компьютерный клуб FeniiiX.GG, для которого соревнование послужит рекламой.|https://drive.google.com/file/d/1qkDneWnbSUO-lbH-f9zM14q4mAll00Sr/view?usp=drive_link, https://drive.google.com/file/d/1rwkDeePFw0BjKQ-SkBn5v6sk_M80C0Vr/view?usp=drive_link|0/3
Форум проектов|Бездна|Проектная деятельность, ИТ, Создание сайта|Более 75% опрошенных студентов НГУ высказались о том, что формулирование идеи и набор команды вызывают трудности при создании проекта. Таким образом, в рамках данного проекта создается сайт для эффективной коммуникации людей, заинтересованных в создании проектов. На сайте будет присутствовать возможность создания карточки проекта для того, чтобы потенциальные участники, смогли быстро выяснить насколько данная идея и методы ее достижения подходят конкретно им. Также отдельные разделы будут посвящены обсуждению различных идей и схожих тем.|Основой любого проекта является его идея. Формулирование идеи является первым важным шагом в создании собственного проекта. Без сформулированной идеи проект просто не может существовать. Также для создания большинства проектов не хватает собственных сил, или же это просто неэффективно, поэтому для таких проектов необходимо набрать людей с необходимыми качествами и/или умениями, что бывает довольно затруднительно при реализации специфических проектов. Решению этих потребностей студентов НГУ и был посвящен этот проект.|К 21:00 4 февраля 2024 года завершить создание сайта со следующим функционалом, касающимся разделов: 1. Главная страница с основной информацией о сайте, 2. С личными карточками потенциальных участников проекта, 3. С карточками проектов, находящихся в стадии разработки, 4. Авторизации и регистрации новых пользователей, за счет выделения 8 часов еженедельно на создание сайта (написание кода, добавление фото- и видеоматериала, работа с хостингом для сайта и т.п.) и 30 минут ежедневно на модерирование находящейся на сайте информации.|Проанализировать идею проекта и выделить ЦА; Проанализировать ЦА и определить ключевые потребности; Из ключевых потребностей ЦА вывести главные требования к продукту проекта - решению потребностей; Согласно составленным требованиям к продукту проекта набрать в команду требуемых людей; Конкретизировать продукт проекта, расписав особенности реализации и итоговые возможности; Распределить обязанности между участниками команды; Реализовать MVP проекта - минимальный жизнеспособный продукт проекта; Получить обратную связь по тестовому периоду публикации; Используя обратную связь улучшить итоговый продукт проекта до конкурентоспособного уровня.|В данном решении заинтересованы, в первую очередь, студенты НГУ, которым ещё предстоит начать заниматься дисциплиной ОПД. По результатам опроса было выявлено, что большинство студентов, создававших ранее проекты, выделяют первичные этапы - формулирование идеи и поиск команды или поиск людей к себе в команду - как вызывающие определенные трудности. Таким образом, создаваемых сайт поможет: 1)Рассмотреть ранее созданные проекты, что позволит оценить среднюю сложность исполняемый проектов и, возможно, найти вдохновение на формулирование новой идеи; 2)Попасть в команду к заинтересовавшего проекта; 3)Обсудить придуманные идеи с другими людьми, которые разбираются в данной теме.||0/2
